Energy_eV,AttenLength_um
621.563,0.417946
623.647,0.421416
625.739,0.424914
627.837,0.428444
629.943,0.432069
632.056,0.435724
634.175,0.43941
636.302,0.443127
638.436,0.446901
640.577,0.450786
642.725,0.454705
644.881,0.458657
647.044,0.462644
649.214,0.466699
651.391,0.470828
653.575,0.474994
655.767,0.479197
657.967,0.483437
660.173,0.487714
662.387,0.49203
664.609,0.496384
666.837,0.500776
669.074,0.505207
671.318,0.509484
673.569,0.513767
675.828,0.518087
678.094,0.522443
680.369,0.526821
682.65,0.531071
684.94,0.535354
687.237,0.539672
689.542,0.544024
691.854,0.548401
694.174,0.552753
696.502,0.55712
698.838,0.561521
701.182,0.565957
703.533,0.570522
705.893,0.575201
708.26,0.579913
710.635,0.584663
713.019,0.589453
715.41,0.594378
717.809,0.599387
720.216,0.604437
722.632,0.60953
725.055,0.614666
727.487,0.61984
729.927,0.625057
732.374,0.630318
734.831,0.635622
737.295,0.640972
739.768,0.646369
742.249,0.651812
744.738,0.657301
747.235,0.662835
749.741,0.668418
752.256,0.67405
754.779,0.679729
757.31,0.685457
759.85,0.691232
762.398,0.697072
764.955,0.702973
767.52,0.708924
770.094,0.714927
772.677,0.72098
775.268,0.727158
777.868,0.733416
780.477,0.739727
783.094,0.746093
785.721,0.752514
788.356,0.759082
791,0.765736
793.652,0.772448
796.314,0.77922
798.984,0.78605
801.664,0.792983
804.352,0.800024
807.05,0.807127
809.757,0.814294
812.472,0.821523
815.197,0.828817
817.931,0.836176
820.674,0.843599
823.426,0.851089
826.188,0.858646
828.959,0.866269
831.739,0.873961
834.528,0.881721
837.327,0.88955
840.135,0.897361
842.952,0.905214
845.779,0.913136
848.616,0.921127
851.462,0.929189
854.317,0.937194
857.182,0.945266
860.057,0.953408
862.941,0.96162
865.836,0.969879
868.739,0.978113
871.653,0.986416
874.576,0.994789
877.509,1.00323
880.452,1.01175
883.405,1.02034
886.367,1.029
889.34,1.03773
892.322,1.04654
895.315,1.05543
898.318,1.0645
901.33,1.07367
904.353,1.08291
907.386,1.09223
910.429,1.10164
913.482,1.1112
916.546,1.12084
919.62,1.13056
922.704,1.14038
925.798,1.15063
928.903,1.16097
932.018,1.1714
935.144,1.18193
938.28,1.19257
941.427,1.20338
944.584,1.21429
947.752,1.22529
950.93,1.2364
954.119,1.24764
957.319,1.25903
960.53,1.27053
963.751,1.28213
966.983,1.29384
970.226,1.30566
973.48,1.31758
976.744,1.32962
980.02,1.34176
983.307,1.35401
986.604,1.36637
989.913,1.37884
993.233,1.39142
996.564,1.40412
999.906,1.41693
1003.26,1.42985
1006.62,1.44289
1010,1.45604
